,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200
arm_1,0.778893313,0.846054525,0.85,0.846757001,0.85,0.85,0.848858732,0.830436523,0.818952403,0.85,0.85,0.835421719,0.844611769,0.848343462,0.847039693,0.815205328,0.786962428,0.800140842,0.810146468,0.828680944,0.796957569,0.778958858,0.816391955,0.80516556,0.799119579,0.818717133,0.782377768,0.800589262,0.794965823,0.793966821,0.815494707,0.85,0.821179337,0.85,0.837187913,0.85,0.804493612,0.796959507,0.801396296,0.789606242,0.803190714,0.807447064,0.779877602,0.795290701,0.770879278,0.759936142,0.80470866,0.754315968,0.724009872,0.754891528,0.795903289,0.800401658,0.801857596,0.815548929,0.787859381,0.728314136,0.742699664,0.760817321,0.754905955,0.711792463,0.678681475,0.668469039,0.664195044,0.670922383,0.650382857,0.631766673,0.709352249,0.669756496,0.702349246,0.679473164,0.639727598,0.618540836,0.66278926,0.68816668,0.673855647,0.718441079,0.738633987,0.686690701,0.684716853,0.679991714,0.677474001,0.667621215,0.642866967,0.640030792,0.658459564,0.734273963,0.743895164,0.739990676,0.763214303,0.806257301,0.806935431,0.761378196,0.806921194,0.831379999,0.813033849,0.810940432,0.848294124,0.824656158,0.784120534,0.775649264,0.782716774,0.774078706,0.823917577,0.848517453,0.844281689,0.7909204,0.765371252,0.786849133,0.780057812,0.742036037,0.71223087,0.774775251,0.776688285,0.822398077,0.81425513,0.827251234,0.836291653,0.849950488,0.824502171,0.85,0.846646774,0.793977395,0.827161495,0.832812814,0.824143055,0.85,0.85,0.85,0.820008749,0.85,0.85,0.85,0.836378058,0.85,0.828939836,0.842953934,0.85,0.85,0.830214072,0.841219594,0.844129868,0.85,0.828109963,0.85,0.816547365,0.823074532,0.829575023,0.85,0.85,0.85,0.83594427,0.820666485,0.796146052,0.807730784,0.82790032,0.828668946,0.832635736,0.764658685,0.757402514,0.778053445,0.777738163,0.749805729,0.796725853,0.765689367,0.748654194,0.714791462,0.772025877,0.813067986,0.794852617,0.739185872,0.764930195,0.75565393,0.759820623,0.784862535,0.801855293,0.791981202,0.769939428,0.820200596,0.835949997,0.85,0.85,0.85,0.798867251,0.757880181,0.768160424,0.727944513,0.693412776,0.646704561,0.638561653,0.689595939,0.723885462,0.7748178,0.801285716,0.806426833,0.78949851,0.74427637,0.752561635,0.777234134,0.761168871,0.774958476
arm_2,0.339054721,0.33596583,0.286250422,0.278807069,0.243988636,0.257352961,0.253935889,0.214409675,0.272517986,0.282808648,0.260837058,0.282233246,0.284449162,0.244676058,0.247420402,0.292889082,0.307834735,0.325568568,0.298693241,0.316710409,0.295710643,0.285702449,0.286538786,0.279675425,0.301414232,0.29317118,0.321045982,0.326821826,0.310583088,0.349074875,0.386465024,0.38592925,0.474242235,0.416460584,0.447284126,0.433632234,0.465763069,0.513610122,0.523330115,0.533500441,0.541658212,0.552846634,0.590967603,0.583825061,0.636718666,0.622356164,0.617327456,0.623906328,0.610725564,0.608588261,0.65697457,0.693806714,0.634457691,0.682649424,0.708631745,0.731435197,0.731236544,0.729494823,0.694644279,0.719542722,0.731515566,0.752612762,0.733042952,0.740812668,0.744903489,0.714726416,0.710957923,0.792411007,0.790790518,0.819861044,0.744687162,0.70883461,0.698985474,0.630596793,0.586881734,0.549863008,0.504262405,0.530069298,0.520734729,0.513618258,0.520368395,0.527670956,0.531280783,0.534296075,0.58396557,0.599606033,0.60578477,0.641011346,0.637408825,0.596981133,0.591733655,0.657238301,0.649787005,0.708671675,0.705812552,0.695036996,0.729335141,0.729778047,0.719626697,0.734390691,0.764916169,0.768344243,0.779618464,0.811592164,0.85,0.85,0.85,0.85,0.81907231,0.844717478,0.815364634,0.803786873,0.812783792,0.792967585,0.806768226,0.85,0.85,0.835782375,0.799928051,0.796949655,0.826444914,0.831328371,0.840876043,0.85,0.85,0.85,0.85,0.85,0.838082559,0.772871898,0.802465571,0.791574204,0.817337918,0.801010759,0.768834961,0.799758224,0.785824098,0.752149949,0.766485886,0.785486117,0.747818397,0.779052856,0.748581351,0.744276652,0.739357683,0.739004168,0.750942109,0.708318193,0.687805425,0.658634111,0.618739365,0.598877045,0.539387666,0.553735651,0.533573849,0.5309192,0.497978701,0.556333088,0.630370746,0.661979066,0.628816088,0.640299403,0.575220014,0.572145003,0.623044382,0.679482087,0.651791559,0.639038568,0.615360976,0.622027106,0.608946562,0.607883894,0.657623511,0.632954191,0.629409777,0.641762613,0.612213393,0.599123671,0.645104011,0.644239422,0.63272376,0.619893217,0.600080226,0.58419835,0.567572719,0.593240294,0.623098946,0.593780607,0.529635956,0.583661204,0.580469176,0.56105147,0.548176063,0.542988949,0.524276328,0.546166361,0.580967485,0.582817508,0.588832306,0.604135237
arm_3,0.398421248,0.387798084,0.337567206,0.332062066,0.35875146,0.365527449,0.37176917,0.371993541,0.365493298,0.370530283,0.376167084,0.408405508,0.424850038,0.421528161,0.460545281,0.455296391,0.475147782,0.416525736,0.401569925,0.378325479,0.401910564,0.345718414,0.317876912,0.314159747,0.236904491,0.221402385,0.260786532,0.279435646,0.258380662,0.23859546,0.1949801,0.203316584,0.20664443,0.188788033,0.175263319,0.15,0.15,0.15,0.15,0.176683565,0.152894745,0.154614186,0.185310875,0.174776928,0.15,0.15,0.15,0.150269748,0.15,0.180910753,0.169764029,0.18408919,0.208441059,0.244027396,0.21616992,0.215654949,0.249875128,0.25764544,0.256280405,0.206087155,0.22073217,0.160267519,0.165969386,0.174755777,0.198851429,0.235792658,0.247204656,0.252471759,0.226814142,0.206129501,0.188606624,0.18025239,0.19541595,0.15,0.15,0.15,0.17008443,0.195730459,0.173163973,0.191086931,0.15,0.15,0.15,0.191794986,0.203678097,0.215607032,0.206761341,0.15,0.177350617,0.19841297,0.272750363,0.269419004,0.23649728,0.213215599,0.254413141,0.249196036,0.302490533,0.282316539,0.300751111,0.246876889,0.316226852,0.299556018,0.378446444,0.341209359,0.329348795,0.345044365,0.384596253,0.34081707,0.346445383,0.330546823,0.332600469,0.322697983,0.304206639,0.319769692,0.320240753,0.291890651,0.27387788,0.299713942,0.227482863,0.252561211,0.250258973,0.281962908,0.245084148,0.251494262,0.262767087,0.255137006,0.273128381,0.255337719,0.250409619,0.249496299,0.209196183,0.223748138,0.242584232,0.200127889,0.205285401,0.217361445,0.212753905,0.250296868,0.260582384,0.292486263,0.305354802,0.375042496,0.367774239,0.366950119,0.375638201,0.403031149,0.38322924,0.356028819,0.357660746,0.373781503,0.379531544,0.401679471,0.383081483,0.389543683,0.429897579,0.449510563,0.538718958,0.524805238,0.506702577,0.531231377,0.540197268,0.471296079,0.511684407,0.460480988,0.521365511,0.524137846,0.496191828,0.490715845,0.471530285,0.482002844,0.468481764,0.430825081,0.409779022,0.358001818,0.345434863,0.392840953,0.387434794,0.376262673,0.352914854,0.347789391,0.322930127,0.26005085,0.212722026,0.284360546,0.270903428,0.328936589,0.352392231,0.312923015,0.369648807,0.379798341,0.338186963,0.373923193,0.332604604,0.285799333,0.254031492,0.254025172,0.268797587,0.290334467,0.324836593,0.294672155
arm_4,0.289537803,0.299846721,0.27484327,0.236718869,0.214196326,0.222663035,0.275808294,0.24322461,0.234966177,0.207505741,0.163428159,0.15,0.15,0.15,0.15,0.15,0.215884665,0.15,0.150911955,0.15,0.164862581,0.153200537,0.177450604,0.188059704,0.205300299,0.249268319,0.274895926,0.2554381,0.239063091,0.218691793,0.276230683,0.239099119,0.20646442,0.200370704,0.215778275,0.196252941,0.173178622,0.15,0.154697943,0.15,0.15,0.15,0.15,0.159718592,0.15,0.154954214,0.15,0.15,0.198190586,0.187630269,0.166458585,0.191327187,0.239120386,0.245360434,0.238733475,0.263182621,0.291384487,0.314814034,0.287114132,0.276499855,0.311415875,0.307984753,0.306352909,0.289911627,0.286288809,0.27298692,0.259115652,0.216765272,0.17688314,0.15,0.15,0.180503013,0.234362699,0.2266858,0.273204307,0.242963302,0.236739794,0.24064021,0.262587482,0.236608387,0.255660506,0.304336856,0.281393377,0.242003117,0.205642201,0.154646271,0.15,0.183102108,0.215959022,0.166164125,0.15880155,0.15,0.15,0.15,0.15,0.159567528,0.15,0.15,0.15,0.191520933,0.180774108,0.15,0.170172873,0.174055147,0.205268259,0.158121184,0.168710465,0.164340306,0.201592169,0.173151248,0.161255991,0.195942512,0.187587164,0.228509044,0.223159297,0.236089467,0.254127529,0.283467972,0.216418452,0.180243145,0.212818997,0.183607997,0.171177312,0.164030824,0.15,0.157328954,0.15,0.194777162,0.192979121,0.179205187,0.15,0.211770517,0.172139494,0.15,0.15,0.15,0.15,0.15,0.164203458,0.15,0.15169769,0.163736733,0.15,0.15,0.15,0.163766951,0.155648448,0.158377263,0.15,0.15,0.15,0.175665718,0.228296393,0.24721948,0.221612608,0.2027813,0.15,0.15,0.150449436,0.188355725,0.15,0.159102746,0.227797155,0.284779264,0.22494025,0.198080284,0.21658119,0.188908852,0.19965491,0.189011981,0.249706357,0.289741148,0.328829097,0.295580109,0.284138286,0.247576021,0.233721161,0.19875096,0.238084572,0.22921496,0.249725316,0.274316055,0.280749979,0.276428133,0.297125901,0.24750495,0.247643713,0.265949073,0.249636826,0.280148138,0.30747241,0.32367664,0.273811682,0.195774758,0.227537113,0.241131702,0.239673683,0.199916123,0.22126669,0.16639628
arm_5,0.34350279,0.329994351,0.293527372,0.280938725,0.22119741,0.208110415,0.223149338,0.245022228,0.302539254,0.334137364,0.344057608,0.318197204,0.34081659,0.351742038,0.316330458,0.289434255,0.325173421,0.277012376,0.267092483,0.241577669,0.247142711,0.249869554,0.244860947,0.195542687,0.207701276,0.215986426,0.191029452,0.204160176,0.214103769,0.152198777,0.185953746,0.215401125,0.270465441,0.312963697,0.316164565,0.312060213,0.264637722,0.304943011,0.299365263,0.304169388,0.343797562,0.373570088,0.388597393,0.348348683,0.373000555,0.352630947,0.364678416,0.383377968,0.358740685,0.389278664,0.39236615,0.431869721,0.46879653,0.450244011,0.478877356,0.472670427,0.476132772,0.494076387,0.47075839,0.495336066,0.454824829,0.429832451,0.500348086,0.474422109,0.485889189,0.454987488,0.474135439,0.501725144,0.50936837,0.452063616,0.52687464,0.497247851,0.531761576,0.592543295,0.59794645,0.594671354,0.621920637,0.670007874,0.666501081,0.704333835,0.677766426,0.710602538,0.733146181,0.668162033,0.651892718,0.642680751,0.665580897,0.630870516,0.623207942,0.638832008,0.593117941,0.597966735,0.612006611,0.60768113,0.602300952,0.610048457,0.584247384,0.532001363,0.507536726,0.525994944,0.579541796,0.566526858,0.546480821,0.510769822,0.518933316,0.483598023,0.502471958,0.464801368,0.502497056,0.498199773,0.507978925,0.498636189,0.521528581,0.53620152,0.561257991,0.576711074,0.525488745,0.542806443,0.608175339,0.670288051,0.680126162,0.674365777,0.727203341,0.767665929,0.783922815,0.747832386,0.70886929,0.699322526,0.65371061,0.673715334,0.747769459,0.712500852,0.720523509,0.71193606,0.689508884,0.715103924,0.721698703,0.761312413,0.800810458,0.796316941,0.810006567,0.802342299,0.85,0.82478909,0.85,0.81422912,0.761204221,0.798598826,0.792067746,0.78085292,0.801329216,0.737525323,0.708649825,0.750647888,0.774666782,0.766925319,0.805301566,0.784344187,0.80988974,0.799342792,0.758420566,0.758725218,0.776726956,0.787929516,0.801191186,0.829805422,0.813255892,0.812550795,0.826086722,0.84525762,0.793017913,0.808377192,0.748685008,0.74451059,0.711660196,0.693644818,0.700640892,0.706044163,0.722149645,0.71840306,0.743021217,0.727735613,0.785854943,0.766957027,0.777475402,0.773861785,0.819668438,0.838104723,0.844581381,0.85,0.814486565,0.800652425,0.787982213,0.780941938,0.825498614,0.816571641,0.78815731,0.76672894,0.758150519,0.754462143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.778893313347362,","0.846054525321231,","0.85,","0.846757000707076,","0.85,","0.85,","0.84885873178951,","0.830436522745017,","0.818952403273637,","0.85,","0.85,","0.835421718663637,","0.844611768677533,","0.84834346184689,","0.847039692979381,","0.815205327895876,","0.786962427597247,","0.800140842281835,","0.810146467798569,","0.828680944090513,","0.796957569007589,","0.778958858495414,","0.816391955285859,","0.805165559867479,","0.79911957887982,","0.818717132865506,","0.782377768010874,","0.800589261719891,","0.79496582327025,","0.793966821218178,","0.815494707076813,","0.85,","0.821179336691454,","0.85,","0.837187912728645,","0.85,","0.804493612070047,","0.796959506607418,","0.801396295730308,","0.789606242497543,","0.80319071377868,","0.807447064078068,","0.779877601584252,","0.795290700514088,","0.770879277899996,","0.759936142258663,","0.804708659911766,","0.754315967613768,","0.724009872352816,","0.754891527518543,","0.79590328897611,","0.800401658301235,","0.801857596437207,","0.815548928570244,","0.787859380512873,","0.728314136498416,","0.742699664388625,","0.760817321487674,","0.754905954820865,","0.711792463081891,","0.678681475007739,","0.668469038779259,","0.664195044294625,","0.670922382904979,","0.650382857318984,","0.631766673279609,","0.70935224934506,","0.669756496256784,","0.702349245724108,","0.679473163550426,","0.639727597811723,","0.61854083638,","0.662789260414829,","0.688166680086214,","0.673855646998824,","0.718441078751689,","0.738633986904925,","0.686690700691537,","0.684716853041509,","0.679991714281083,","0.677474000868913,","0.667621214577093,","0.642866966751057,","0.640030791729365,","0.65845956362748,","0.7342739627467,","0.743895163565542,","0.739990676182731,","0.763214303414329,","0.806257301050092,","0.806935431284995,","0.761378195563112,","0.806921194296826,","0.831379998823771,","0.813033849390344,","0.810940431849818,","0.848294124229365,","0.824656158361098,","0.784120533685141,","0.775649263977919,","0.782716773918151,","0.77407870636028,","0.823917577289726,","0.848517453105341,","0.844281688542745,","0.79092039999558,","0.765371252255492,","0.786849132954174,","0.780057812499104,","0.742036037094811,","0.712230870225609,","0.774775250527851,","0.776688284661626,","0.822398076860706,","0.814255130377688,","0.827251233807179,","0.836291653343035,","0.849950488061089,","0.82450217124256,","0.85,","0.846646773537347,","0.793977395335425,","0.827161494981024,","0.832812813939101,","0.824143054956284,","0.85,","0.85,","0.85,","0.820008749088499,","0.85,","0.85,","0.85,","0.836378057621448,","0.85,","0.828939835659995,","0.84295393428616,","0.85,","0.85,","0.830214072013366,","0.84121959383102,","0.844129868391882,","0.85,","0.828109963305594,","0.85,","0.816547364892105,","0.823074531896173,","0.829575023212254,","0.85,","0.85,","0.85,","0.835944269684516,","0.820666485346403,","0.79614605222587,","0.807730784315806,","0.827900320317654,","0.828668946069104,","0.832635736016169,","0.76465868499875,","0.757402514200554,","0.778053444921808,","0.777738162500996,","0.749805729388547,","0.796725852679677,","0.765689366664088,","0.748654194349463,","0.71479146162264,","0.772025877229016,","0.813067985960285,","0.794852616656866,","0.739185872249764,","0.764930194530468,","0.755653930246553,","0.759820622989418,","0.784862534944254,","0.801855293461046,","0.791981202266139,","0.769939427905852,","0.820200596125346,","0.835949996856177,","0.85,","0.85,","0.85,","0.798867251021599,","0.757880180734988,","0.768160423688287,","0.727944513200892,","0.693412776480023,","0.646704560523883,","0.63856165308173,","0.689595938840625,","0.723885461641291,","0.774817800413966,","0.801285715556127,","0.806426832752327,","0.789498510479066,","0.744276370256141,","0.752561635023174,","0.777234134488488,","0.761168870995029,","0.774958475911571,",
"0.339054721035063,","0.335965829983181,","0.286250421609827,","0.278807069270183,","0.243988636266297,","0.25735296143425,","0.253935888731449,","0.214409674510406,","0.272517986272295,","0.282808647943239,","0.260837058332753,","0.282233246431526,","0.284449162126977,","0.244676057939866,","0.24742040169269,","0.292889081673277,","0.30783473455715,","0.3255685682564,","0.298693240777537,","0.316710409320766,","0.295710642883366,","0.285702448610508,","0.286538786002641,","0.279675425369382,","0.301414231645848,","0.293171180470813,","0.321045982162179,","0.326821825944158,","0.31058308837626,","0.349074875478763,","0.38646502428989,","0.38592924967223,","0.474242235477296,","0.416460584383696,","0.447284125570398,","0.433632233653421,","0.465763068929551,","0.513610121649457,","0.523330115496185,","0.533500440965021,","0.541658211991952,","0.552846633533668,","0.590967603322544,","0.583825060587516,","0.636718666104272,","0.622356164065661,","0.61732745550177,","0.623906328108896,","0.610725563955382,","0.608588260812773,","0.656974570078254,","0.693806714494832,","0.634457690795092,","0.682649424034193,","0.708631745351813,","0.731435197220437,","0.731236543619674,","0.729494823443517,","0.694644279006747,","0.719542721573945,","0.731515566053675,","0.752612761997389,","0.733042952078503,","0.740812667629738,","0.744903488953755,","0.714726416282902,","0.710957923147254,","0.792411006671636,","0.790790518012551,","0.819861043512879,","0.744687162111478,","0.708834610007,","0.698985474121285,","0.630596792925208,","0.586881734361585,","0.549863007968524,","0.5042624054962,","0.530069297517839,","0.520734729094834,","0.513618257828911,","0.520368395097622,","0.52767095600014,","0.531280783320527,","0.534296074604336,","0.583965570062177,","0.599606033307388,","0.605784769981767,","0.641011346460536,","0.637408824584668,","0.596981133315106,","0.591733654756134,","0.657238301038137,","0.649787004724634,","0.708671674915765,","0.705812552057776,","0.695036995848979,","0.729335140640223,","0.729778047301018,","0.719626696739442,","0.734390690936696,","0.764916169378516,","0.768344243118889,","0.779618464354975,","0.811592163851628,","0.85,","0.85,","0.85,","0.85,","0.819072309868588,","0.844717477888658,","0.815364633793927,","0.803786873353912,","0.81278379170942,","0.792967585324833,","0.806768226326136,","0.85,","0.85,","0.835782375015842,","0.799928051136045,","0.796949655004035,","0.826444913675506,","0.831328371208976,","0.840876043226138,","0.85,","0.85,","0.85,","0.85,","0.85,","0.838082558604782,","0.772871898099352,","0.802465570961861,","0.7915742038342,","0.817337918379645,","0.801010758788928,","0.768834961022101,","0.799758224077528,","0.785824097851864,","0.752149949478397,","0.766485886308564,","0.785486117368956,","0.747818397089056,","0.779052855563583,","0.748581351369694,","0.744276652462813,","0.739357683041967,","0.739004168367972,","0.750942109173777,","0.708318193496164,","0.687805425485797,","0.6586341112461,","0.618739365007145,","0.598877045004987,","0.539387665664587,","0.553735650584506,","0.533573848653784,","0.530919200059453,","0.497978700721794,","0.556333087553437,","0.630370746067847,","0.661979065951011,","0.628816088145051,","0.64029940252967,","0.575220013875425,","0.572145002775423,","0.623044382410842,","0.679482087338113,","0.651791559472385,","0.639038568040245,","0.615360975979704,","0.62202710633225,","0.608946561552355,","0.607883893987567,","0.657623510683429,","0.632954191484389,","0.629409777451454,","0.641762613009384,","0.612213393332046,","0.599123671249078,","0.645104011059852,","0.644239422029624,","0.632723759886802,","0.619893216598395,","0.600080225917152,","0.58419834980568,","0.567572719049099,","0.593240293502556,","0.623098945571511,","0.593780606841693,","0.529635956273256,","0.583661203733122,","0.58046917587206,","0.561051469985365,","0.548176063227336,","0.542988948927789,","0.524276328404537,","0.546166360949826,","0.580967484942023,","0.582817508429188,","0.588832306154067,","0.604135236700149,",
"0.398421248164959,","0.387798084219054,","0.337567205706629,","0.33206206567583,","0.358751459715856,","0.365527449429072,","0.371769169772707,","0.371993541432001,","0.365493297937961,","0.370530282572065,","0.376167084022124,","0.408405507855242,","0.424850037529314,","0.421528161074109,","0.460545280722732,","0.455296390833561,","0.475147781692021,","0.416525736235663,","0.401569924522585,","0.378325479463357,","0.401910564029195,","0.345718414170977,","0.317876912283693,","0.314159746506156,","0.236904490535797,","0.221402384639541,","0.260786532087955,","0.279435646416368,","0.258380662033127,","0.23859545988254,","0.194980100369782,","0.203316584006821,","0.206644430341258,","0.188788033136771,","0.175263319316995,","0.15,","0.15,","0.15,","0.15,","0.176683565378084,","0.152894745031845,","0.154614186343307,","0.185310875439201,","0.174776927500355,","0.15,","0.15,","0.15,","0.150269747626729,","0.15,","0.180910753480918,","0.169764028775115,","0.184089189515928,","0.208441059376365,","0.244027396048201,","0.216169920202433,","0.215654949437529,","0.24987512780333,","0.257645439763416,","0.256280404562765,","0.206087154799505,","0.220732170092196,","0.160267518733586,","0.165969385792355,","0.174755777286532,","0.198851428966822,","0.235792658357171,","0.247204655813308,","0.25247175913792,","0.226814142197965,","0.206129500842626,","0.188606624122125,","0.180252389740572,","0.195415950053913,","0.15,","0.15,","0.15,","0.170084430056655,","0.1957304585882,","0.173163972940198,","0.191086931069369,","0.15,","0.15,","0.15,","0.191794985862762,","0.203678097418536,","0.215607031907333,","0.206761341137691,","0.15,","0.177350617107042,","0.198412970241484,","0.27275036272991,","0.269419003703916,","0.236497279739428,","0.213215598821825,","0.25441314059338,","0.249196035529741,","0.302490532946909,","0.282316538891855,","0.300751111371497,","0.246876888763869,","0.316226852277818,","0.29955601810578,","0.378446444030188,","0.341209358947472,","0.329348794517457,","0.345044364864693,","0.38459625281038,","0.340817070227,","0.346445382812833,","0.330546822684157,","0.332600468937747,","0.322697983135,","0.304206638593349,","0.319769691589756,","0.320240753268812,","0.291890651201797,","0.273877879955126,","0.299713941900091,","0.227482863004036,","0.252561211402846,","0.250258972517767,","0.28196290774646,","0.245084148345296,","0.251494262082098,","0.262767086867523,","0.255137006044786,","0.273128380719695,","0.255337718604287,","0.250409618692609,","0.249496299493997,","0.209196183292789,","0.223748138316237,","0.242584232192595,","0.200127888712879,","0.205285401338097,","0.21736144528398,","0.212753905470618,","0.250296868139032,","0.26058238377714,","0.292486263087159,","0.305354801666725,","0.375042495699623,","0.367774238518922,","0.366950119455121,","0.375638201381419,","0.403031148634301,","0.383229240401003,","0.356028819420742,","0.357660745524321,","0.373781503404547,","0.379531544303846,","0.401679470573159,","0.383081483224383,","0.389543682962832,","0.429897579344125,","0.44951056334193,","0.538718958248114,","0.524805238399718,","0.506702577395594,","0.531231376862116,","0.540197268084781,","0.471296079004777,","0.511684407177411,","0.460480987751291,","0.521365511324422,","0.524137845979936,","0.496191828079672,","0.490715844864717,","0.471530284767527,","0.482002843836376,","0.468481764086469,","0.430825080687259,","0.409779022468816,","0.358001818360745,","0.345434863000683,","0.39284095269087,","0.387434793729058,","0.376262673232001,","0.35291485427175,","0.347789390805775,","0.322930126664695,","0.260050849560898,","0.212722025801344,","0.284360545698681,","0.270903428487103,","0.328936589386359,","0.352392231497223,","0.312923014984206,","0.369648807219109,","0.379798340835314,","0.33818696348583,","0.373923192607296,","0.332604604113425,","0.285799333406774,","0.254031491800644,","0.254025172088456,","0.268797587064187,","0.290334466778899,","0.324836592776288,","0.294672154922282,",
