"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","question_order","phase","trial_name","trial_num","key_selected","person_selected","first_product","reward1","second_product","reward2","left_person","right_person","prob_product1","prob_product2","prob_product3","prob_product4","prob_product5","counterbalance"
"pavlovia","0","1669","0.0-0.0","662f798279ec5f7604eaaaa0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","85421","0.0-1.0","662f798279ec5f7604eaaaa0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","100681","0.0-2.0","662f798279ec5f7604eaaaa0","","","","","","15244","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","104116","0.0-3.0","662f798279ec5f7604eaaaa0","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","288732","0.0-4.0-0.0","662f798279ec5f7604eaaaa0","","","","","","184612","","","[{""page_index"":0,""viewing_time"":4431},{""page_index"":1,""viewing_time"":3934},{""page_index"":2,""viewing_time"":4148},{""page_index"":3,""viewing_time"":1729},{""page_index"":4,""viewing_time"":17817},{""page_index"":5,""viewing_time"":16963},{""page_index"":6,""viewing_time"":6792},{""page_index"":7,""viewing_time"":11592},{""page_index"":8,""viewing_time"":9209},{""page_index"":9,""viewing_time"":8050},{""page_index"":10,""viewing_time"":10178},{""page_index"":11,""viewing_time"":10904},{""page_index"":12,""viewing_time"":3232},{""page_index"":13,""viewing_time"":6865},{""page_index"":14,""viewing_time"":6677},{""page_index"":15,""viewing_time"":4851},{""page_index"":16,""viewing_time"":15492},{""page_index"":17,""viewing_time"":3487},{""page_index"":18,""viewing_time"":7623},{""page_index"":19,""viewing_time"":6152},{""page_index"":20,""viewing_time"":12293},{""page_index"":21,""viewing_time"":9863},{""page_index"":22,""viewing_time"":2330}]","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","392432","0.0-4.0-1.0","662f798279ec5f7604eaaaa0","","","","","","103695","","{""number_persons"":""5"",""number_candidates"":""2"",""number_products"":""2"",""choose_candidate"":""Press the 'S' or 'K' key with your LEFT or RIGHT hand"",""transported_product"":""False, each delivery person can only deliver two products"",""product_person"":""False, the book has the same demand no matter who is delivering it"",""value_change"":""True, as in real markets the demand may slowly change"",""game_goal"":""The goal is to choose the best I can and earn as much bonus money as I can"",""independence"":""False, each product has its own demand in the market"",""location"":""The demand for the products is the same regardless of whether the chosen delivery person appears on the left or on the right""}","","[0,1,2,3,4,5,6,7,8,9]","","","","","","","","","","","","","","","","",""
"instructions","6","415930","0.0-5.0","662f798279ec5f7604eaaaa0","","","","","","23493","","","[{""page_index"":0,""viewing_time"":2322},{""page_index"":1,""viewing_time"":7850},{""page_index"":2,""viewing_time"":3085},{""page_index"":3,""viewing_time"":5674},{""page_index"":4,""viewing_time"":2361},{""page_index"":5,""viewing_time"":2201}]","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","418629","0.0-6.0","662f798279ec5f7604eaaaa0","","","","","","2697","<div>We will now do a few practice trials. <br> Please be ready with your fingers on <b>s</b> and <b>k</b><br><br> <img class=keyboard src='images/examples/keyboard.png'>  <br><br> <b> Press any key to begin</b></div>","s","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","422520","0.0-7.0-0.0","662f798279ec5f7604eaaaa0","","","","","","2874","<img class=left_person src='images/persons/person1.jpg'><img class=right_person src='images/persons/person5.jpg'><div class=""fixation"">+</div>","k","","","practice","choice","0","","","","","","","","","","","","","",""
"html-keyboard-response","9","423288","0.0-7.0-1.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person5.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","1","4","","","","","","","","","","","",""
"html-keyboard-response","10","424055","0.0-7.0-2.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person5.jpg'><img class=product src='images/products/bicycle.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","0","","","0","","","","","","","","","","",""
"html-keyboard-response","11","425063","0.0-7.0-3.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person5.jpg'><img class=reward src='images/one_coin.png'><img class=product src='images/products/bicycle.jpg'>","null","","","practice","show_reward1","0","","","0","1","","","","","","","","","",""
"html-keyboard-response","12","425827","0.0-7.0-4.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person5.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","1","4","","","","","","","","","","","",""
